"year","month","month_n","date","nino3","nino34anom","nino4","nino4anom","soi"
1870,"January",1,1870-01-01,24.23,-1,27.78,-0.48,1.062
1870,"February",2,1870-02-01,25.15,-1.2,26.93,-1.16,0.181
1870,"March",3,1870-03-01,26.35,-0.83,27.28,-1.01,-0.746
1870,"April",4,1870-04-01,26.7,-0.81,27.5,-1,0.472
1870,"May",5,1870-05-01,25.92,-1.27,27.73,-1.08,-0.113
1870,"June",6,1870-06-01,25.46,-1.08,27.71,-1.11,-1.103
1870,"July",7,1870-07-01,24.57,-1.04,27.79,-0.98,0.172
1870,"August",8,1870-08-01,24.11,-0.88,27.82,-0.86,0.979
1870,"September",9,1870-09-01,24.09,-0.53,28.25,-0.44,-0.002
1870,"October",10,1870-10-01,23.68,-0.92,28.17,-0.51,-0.578
1870,"November",11,1870-11-01,23.94,-0.79,28,-0.62,-0.856
1870,"December",12,1870-12-01,24.19,-0.79,27.78,-0.67,-1.294
1871,"January",1,1871-01-01,25.33,-0.25,27.72,-0.55,-1.129
1871,"February",2,1871-02-01,25.83,-0.58,27.69,-0.41,-0.129
1871,"March",3,1871-03-01,26.65,-0.43,27.84,-0.44,-2
1871,"April",4,1871-04-01,26.91,-0.5,28.1,-0.4,-0.456
1871,"May",5,1871-05-01,26.22,-0.7,28.11,-0.7,-0.47
1871,"June",6,1871-06-01,25.93,-0.53,28.11,-0.71,0.245
1871,"July",7,1871-07-01,25.07,-0.6,27.91,-0.87,0.313
1871,"August",8,1871-08-01,24.66,-0.33,28.12,-0.55,0.382
1871,"September",9,1871-09-01,24.59,-0.24,28.23,-0.45,0.576
1871,"October",10,1871-10-01,24.55,-0.33,28.25,-0.43,-0.138
1871,"November",11,1871-11-01,24.66,-0.31,28.1,-0.52,-0.021
1871,"December",12,1871-12-01,24.52,-0.58,27.73,-0.72,0.97
1872,"January",1,1872-01-01,24.82,-0.72,27.5,-0.76,2.69
1872,"February",2,1872-02-01,25.61,-0.62,27.59,-0.51,1.117
1872,"March",3,1872-03-01,26.46,-0.5,27.9,-0.39,1.689
1872,"April",4,1872-04-01,26.62,-0.77,27.82,-0.68,-0.541
1872,"May",5,1872-05-01,26.27,-0.62,28.2,-0.61,1.354
1872,"June",6,1872-06-01,25.84,-0.52,28.03,-0.79,2.454
1872,"July",7,1872-07-01,25.19,-0.32,28.03,-0.75,2.301
1872,"August",8,1872-08-01,24.17,-0.85,27.55,-1.13,0.986
1872,"September",9,1872-09-01,23.97,-1.02,27.54,-1.15,3.142
1872,"October",10,1872-10-01,23.81,-0.94,27.77,-0.9,1.895
1872,"November",11,1872-11-01,24.01,-0.79,27.88,-0.74,3.092
1872,"December",12,1872-12-01,24.14,-0.88,27.62,-0.83,2.795
1873,"January",1,1873-01-01,24.63,-0.78,27.5,-0.77,2.469
1873,"February",2,1873-02-01,25.17,-1.01,27.23,-0.86,1.124
1873,"March",3,1873-03-01,25.6,-1.31,27.2,-1.09,1.627
1873,"April",4,1873-04-01,26.62,-0.67,27.78,-0.72,2.285
1873,"May",5,1873-05-01,26.25,-0.53,28.27,-0.54,1.185
1873,"June",6,1873-06-01,26.06,-0.48,28.06,-0.76,-3.09
1873,"July",7,1873-07-01,25.12,-0.58,28.06,-0.71,-1.141
1873,"August",8,1873-08-01,24.65,-0.39,28.06,-0.62,-0.586
1873,"September",9,1873-09-01,24.43,-0.34,28.07,-0.62,-2.134
1873,"October",10,1873-10-01,23.97,-0.78,27.89,-0.79,-1.775
1873,"November",11,1873-11-01,23.94,-0.77,27.92,-0.7,-0.356
1873,"December",12,1873-12-01,24.05,-0.7,27.98,-0.47,1.332
1874,"January",1,1874-01-01,24.25,-0.93,27.66,-0.61,0.901
1874,"February",2,1874-02-01,24.94,-1.06,27.42,-0.68,-0.277
1874,"March",3,1874-03-01,25.63,-1.4,27.31,-0.97,-0.52
