"WDPAID","IUCN","YEAR","ISO3","IUCN_INT","ISO3_INT"
1,"Ia",1973,"ATG",1,28
2,"Ia",1973,"ATG",1,28
27,"II",1980,"BRB",2,52
46,"Ia",1979,"BRA",1,76
78,"II",1980,"VGB",2,92
78,"II",1980,"VGB",2,92
763,"II",1978,"KEN",2,404
1047,"Ia",1961,"VIR",1,850
1781,"IV",1978,"IND",4,356
1859,"IV",1967,"IND",4,356
1859,"IV",1967,"IND",4,356
1867,"IV",1984,"IND",4,356
2213,"II",1982,"BLZ",2,84
4470,"IV",1981,"BGD",4,50
4477,"Ib",1996,"BGD",1,50
4478,"Ib",1996,"BGD",1,50
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4553,"II",1982,"IND",2,356
4628,"IV",1976,"IND",4,356
4629,"IV",1976,"IND",4,356
4630,"IV",1976,"IND",4,356
4673,"II",1981,"THA",2,764
9141,"II",1979,"SYC",2,690
9228,"II",1986,"IND",2,356
9228,"II",1986,"IND",2,356
9228,"II",1986,"IND",2,356
9228,"II",1986,"IND",2,356
9260,"II",1987,"IND",2,356
9960,"II",1984,"IND",2,356
10538,"VI",1995,"SLB",6,90
12789,"II",1986,"CYM",2,136
12796,"II",1986,"CYM",2,136
12798,"II",1986,"CYM",2,136
12799,"II",1986,"CYM",2,136
12855,"II",1981,"TZA",2,834
12878,"Not Reported",1997,"SYC",NA,690
12878,"Not Reported",1997,"SYC",NA,690
12958,"II",1982,"AUS",2,36
12958,"II",1982,"AUS",2,36
12958,"II",1982,"AUS",2,36
12981,"II",2007,"AUS",2,36
13190,"IV",1977,"IND",4,356
13191,"IV",1977,"IND",4,356
13220,"IV",1977,"IND",4,356
13271,"IV",1977,"IND",4,356
18273,"V",1989,"NCL",5,540
24419,"Ia",1997,"AUS",1,36
24419,"Ia",1997,"AUS",1,36
24444,"Ia",1991,"AUS",1,36
24445,"Ia",1991,"AUS",1,36
24473,"Ia",1997,"AUS",1,36
28080,"II",1986,"BMU",2,60
28144,"III",1980,"BMU",3,60
34314,"II",1996,"BLZ",2,84
64043,"Ia",2011,"AUS",1,36
64043,"Ia",2011,"AUS",1,36
64043,"II",2011,"AUS",2,36
64043,"II",2011,"AUS",2,36
64043,"II",2011,"AUS",2,36
72397,"II",1994,"TZA",2,834
75128,"Ia",1974,"USA",1,840
75128,"Ia",1974,"USA",1,840
75128,"Ia",1974,"USA",1,840
81021,"Not Reported",1995,"MDV",NA,462
81022,"Not Reported",1995,"MDV",NA,462
81023,"Not Reported",1995,"MDV",NA,462
81024,"Not Reported",1995,"MDV",NA,462
81025,"Not Reported",1995,"MDV",NA,462
81026,"Not Reported",1995,"MDV",NA,462
81028,"Not Reported",1995,"MDV",NA,462
81029,"Not Reported",1995,"MDV",NA,462
81030,"Not Reported",1995,"MDV",NA,462
81031,"Not Reported",1995,"MDV",NA,462
81032,"Not Reported",1995,"MDV",NA,462
81033,"Not Reported",1995,"MDV",NA,462
81034,"Not Reported",1995,"MDV",NA,462
81035,"Not Reported",1995,"MDV",NA,462
145496,"VI",1996,"TUV",6,798
166933,"II",1998,"IOT",2,86
166935,"Not Reported",1998,"IOT",NA,86
166936,"II",1998,"IOT",2,86
166937,"II",1998,"IOT",2,86
166938,"II",1998,"IOT",2,86
220011,"Not Reported",1994,"NCL",NA,540
220011,"Not Reported",1994,"NCL",NA,540
220011,"Not Reported",1994,"NCL",NA,540
220011,"Not Reported",1994,"NCL",NA,540
220011,"Not Reported",1994,"NCL",NA,540
220014,"IV",1981,"NCL",4,540
220017,"V",1989,"NCL",5,540
220023,"Not Reported",1993,"NCL",NA,540
220027,"Not Reported",1993,"NCL",NA,540
220104,"Not Reported",1999,"MDV",NA,462
